Date,Open,High,Low,Close,Adj Close,Volume
2021/12/22,266.5,268,265.5,265.5,265.5,1601355
2021/12/23,266,270,266,270,270,3818504
2021/12/24,271,272.5,270,270.5,270.5,2108407
2021/12/27,271,276.5,271,275.5,275.5,4520189
2021/12/28,276.5,278.5,275.5,277.5,277.5,3770984
2021/12/29,278.5,280,277,278,278,3610412
2021/12/30,278,278,275,275,275,2272848
2022/1/3,276,282.5,275,282,282,5888040
2022/1/4,286,298,285.5,297,297,15548338
2022/1/5,302,302,289.5,290.5,290.5,10172224
2022/1/6,288,292,284,291,291,7272144
2022/1/7,292,293,282,283,283,6692949
2022/1/10,279,285,276.5,283.5,283.5,5729943
2022/1/11,279.5,291,279.5,287,287,7526835
2022/1/12,288,291,279.5,282,282,6709009
2022/1/13,283.5,283.5,276,277,277,6180022
2022/1/14,273,274,268,271.5,271.5,6667600
2022/1/17,270.5,274,270,273.5,273.5,3393651
2022/1/18,274.5,277,274,274,274,2492696
2022/1/19,276,277,272.5,275,275,4741817
2022/1/20,274,275.5,269,272.5,272.5,5538212
2022/1/21,273,275.5,270,272.5,272.5,4385695
2022/1/24,269.5,273,269,272,272,2378221
2022/1/25,269,270.5,266,269,269,5697799
2022/1/26,267,270.5,266.5,268,268,4044914
2022/2/7,271.5,277.5,269.5,271,271,8686008
2022/2/8,271,272.5,269,269,269,9562776
2022/2/9,269,271,268.5,269.5,269.5,5081218
2022/2/10,270,271,268,269.5,269.5,5238991
2022/2/11,267.5,269,265.5,265.5,265.5,7143298
2022/2/14,264,264,255.5,256,256,7142153
2022/2/15,255,256.5,252,253.5,253.5,8154774
2022/2/16,257,259.5,256.5,258.5,258.5,4369497
2022/2/17,260,262.5,258.5,261,261,4778897
2022/2/18,258.5,262,258,261.5,261.5,2333536
2022/2/21,258.5,260,257,260,260,2174876
2022/2/22,257.5,258,256,257,257,4271945
2022/2/23,257.5,261,257,259,259,3158838
2022/2/24,255.5,257,252,253.5,253.5,6130739
2022/2/25,254,255.5,246,246.5,246.5,14130109
2022/3/1,249,256.5,247.5,256.5,256.5,8626670
2022/3/2,254.5,258,252,255,255,5681260
2022/3/3,255.5,258,254.5,256,256,6209627
2022/3/4,253,257,251.5,254.5,254.5,3171154
2022/3/7,249.5,250,246,247,247,8601256
2022/3/8,242,250,234,235.5,235.5,13041761
2022/3/9,236.5,243,236.5,241.5,241.5,6350583
2022/3/10,252,258,249.5,254.5,254.5,9832666
2022/3/11,257.5,264,254.5,262,262,10775338
2022/3/14,263.5,263.5,256,257.5,257.5,4342888
2022/3/15,257.5,257.5,249.5,251.5,251.5,6369525
2022/3/16,251.5,254,247,249,249,7822678
2022/3/17,255,262,253,260.5,260.5,8182081
2022/3/18,260,262.5,254.5,256,256,10297139
2022/3/21,261,265,260,261,261,5578053
2022/3/22,263.5,264,260.5,262,262,3944770
2022/3/23,266,266,262,264.5,264.5,3057000
2022/3/24,265,267.5,262.5,266.5,266.5,4652000
